DISP, '2013-08-01-00:00:00' 
735471.000000,25.769710
735471.041667,25.797231
735471.083333,25.763412
735471.125000,25.741368
735471.166667,25.716243
735471.208333,25.710171
735471.250000,25.684625
735471.291667,25.645663
735471.333333,25.611769
735471.375000,25.644724
735471.416667,25.637502
735471.458333,25.657068
735471.500000,25.651962
735471.541667,25.651064
735471.583333,25.628611
735471.625000,25.625717
735471.666667,25.621800
735471.708333,25.593246
735471.750000,25.607470
735471.791667,25.613544
735471.833333,25.660123
735471.875000,25.668640
735471.916667,25.652831
735471.958333,25.669659
735472.000000,25.670363
735472.041667,25.680542
735472.083333,25.710901
735472.125000,25.735573
735472.166667,25.724078
735472.208333,25.731718
735472.250000,25.728545
735472.291667,25.693340
735472.333333,25.705768
735472.375000,25.688008
735472.416667,25.632963
735472.458333,25.630138
735472.500000,25.604600
735472.541667,25.597748
735472.583333,25.645326
735472.625000,25.641704
735472.666667,25.665978
735472.708333,25.648956
735472.750000,25.628950
735472.791667,25.647688
735472.833333,25.639622
735472.875000,25.637482
735472.916667,25.644539
735472.958333,25.657286
735473.000000,25.681191
735473.041667,25.680373
735473.083333,25.690454
735473.125000,25.700802
735473.166667,25.674447
735473.208333,25.645468
735473.250000,25.609004
735473.291667,25.601690
735473.333333,25.578140
735473.375000,25.587361
735473.416667,25.606235
735473.458333,25.625910
735473.500000,25.602108
735473.541667,25.608524
735473.583333,25.617176
735473.625000,25.630848
735473.666667,25.668806
735473.708333,25.688395
735473.750000,25.706248
735473.791667,25.750824
735473.833333,25.781713
735473.875000,25.780427
735473.916667,25.800041
735473.958333,25.808898
735474.000000,25.827998
735474.041667,25.840942
735474.083333,25.851445
735474.125000,25.826119
735474.166667,25.814893
735474.208333,25.766255
735474.250000,25.793744
735474.291667,25.813612
735474.333333,25.780675
735474.375000,25.767011
735474.416667,25.737329
735474.458333,25.754853
735474.500000,25.750790
735474.541667,25.724145
735474.583333,25.707279
735474.625000,25.725884
735474.666667,25.718314
735474.708333,25.725557
735474.750000,25.756727
735474.791667,25.735584
735474.833333,25.774469
735474.875000,25.803138
735474.916667,25.799583
735474.958333,25.790221
735475.000000,25.792265
735475.041667,25.748049
735475.083333,25.716270
735475.125000,25.705280
735475.166667,25.689437
735475.208333,25.682744
735475.250000,25.690908
735475.291667,25.666859
735475.333333,25.675595
735475.375000,25.661880
735475.416667,25.659281
735475.458333,25.676034
735475.500000,25.673146
735475.541667,25.685992
735475.583333,25.674823
735475.625000,25.693501
735475.666667,25.701328
735475.708333,25.727116
735475.750000,25.756042
735475.791667,25.781122
735475.833333,25.775827
735475.875000,25.810960
735475.916667,25.833733
735475.958333,25.838658
735476.000000,25.867247
735476.041667,25.878906
735476.083333,25.869459
735476.125000,25.862272
735476.166667,25.838828
735476.208333,25.792690
735476.250000,25.782881
735476.291667,25.775627
735476.333333,25.769716
735476.375000,25.742906
735476.416667,25.725170
735476.458333,25.718267
735476.500000,25.683931
735476.541667,25.668349
735476.583333,25.681167
735476.625000,25.673820
735476.666667,25.692734
735476.708333,25.691853
735476.750000,25.695436
735476.791667,25.713726
735476.833333,25.708558
735476.875000,25.709366
735476.916667,25.740778
735476.958333,25.750724
735477.000000,25.771637
735477.041667,25.799072
735477.083333,25.823171
735477.125000,25.857778
735477.166667,25.835054
735477.208333,25.816656
735477.250000,25.786253
735477.291667,25.763192
735477.333333,25.742433
735477.375000,25.700596
735477.416667,25.699309
735477.458333,25.689025
735477.500000,25.676506
735477.541667,25.692083
735477.583333,25.685970
735477.625000,25.699234
735477.666667,25.668251
735477.708333,25.715114
735477.750000,25.742950
735477.791667,25.751806
735477.833333,25.750654
735477.875000,25.758181
735477.916667,25.771173
735477.958333,25.773516
735478.000000,25.769723
735478.041667,25.782634
735478.083333,25.790668
735478.125000,25.780029
735478.166667,25.783194
735478.208333,25.769515
735478.250000,25.754414
735478.291667,25.716842
