DISP, '2013-08-01-00:00:00' 
735465.625000,25.669028
735465.666667,25.699993
735465.708333,25.723409
735465.750000,25.769119
735465.791667,25.770229
735465.833333,25.824206
735465.875000,25.824925
735465.916667,25.828843
735465.958333,25.854675
735466.000000,25.874132
735466.041667,25.872411
735466.083333,25.895953
735466.125000,25.893761
735466.166667,25.897683
735466.208333,25.882850
735466.250000,25.880123
735466.291667,25.861626
735466.333333,25.826138
735466.375000,25.800177
735466.416667,25.777585
735466.458333,25.769470
735466.500000,25.749170
735466.541667,25.703393
735466.583333,25.692008
735466.625000,25.690292
735466.666667,25.703796
735466.708333,25.715218
735466.750000,25.720428
735466.791667,25.727371
735466.833333,25.750894
735466.875000,25.780571
735466.916667,25.812068
735466.958333,25.832923
735467.000000,25.828258
735467.041667,25.852750
735467.083333,25.858667
735467.125000,25.861740
735467.166667,25.874249
735467.208333,25.875313
735467.250000,25.856491
735467.291667,25.834735
735467.333333,25.834879
735467.375000,25.805477
735467.416667,25.755605
735467.458333,25.724606
735467.500000,25.719521
735467.541667,25.716601
735467.583333,25.710844
735467.625000,25.702423
735467.666667,25.704975
735467.708333,25.737973
735467.750000,25.739440
735467.791667,25.780305
735467.833333,25.820443
735467.875000,25.799953
735467.916667,25.833816
735467.958333,25.847154
735468.000000,25.861947
735468.041667,25.880169
735468.083333,25.884292
735468.125000,25.870981
735468.166667,25.901769
735468.208333,25.886753
735468.250000,25.882162
735468.291667,25.856872
735468.333333,25.811260
735468.375000,25.779105
735468.416667,25.760827
735468.458333,25.765787
735468.500000,25.722511
735468.541667,25.700655
735468.583333,25.654158
735468.625000,25.695537
735468.666667,25.688250
735468.708333,25.657186
735468.750000,25.630896
735468.791667,25.652795
735468.833333,25.676554
735468.875000,25.696092
735468.916667,25.695896
735468.958333,25.743670
735469.000000,25.763662
735469.041667,25.777680
735469.083333,25.781058
735469.125000,25.784542
735469.166667,25.768985
735469.208333,25.757887
735469.250000,25.748784
735469.291667,25.719078
735469.333333,25.769799
735469.375000,25.727681
735469.416667,25.721358
735469.458333,25.699263
735469.500000,25.708196
735469.541667,25.710504
735469.583333,25.703974
735469.625000,25.675634
735469.666667,25.673426
735469.708333,25.638157
735469.750000,25.671648
735469.791667,25.707825
735469.833333,25.721708
735469.875000,25.750226
735469.916667,25.759141
735469.958333,25.750338
735470.000000,25.768645
735470.041667,25.758830
735470.083333,25.760257
735470.125000,25.754396
735470.166667,25.746579
735470.208333,25.697991
735470.250000,25.672407
735470.291667,25.648864
735470.333333,25.617435
735470.375000,25.609799
735470.416667,25.605503
735470.458333,25.602925
735470.500000,25.550226
735470.541667,25.590149
735470.583333,25.575724
735470.625000,25.571234
735470.666667,25.568652
735470.708333,25.588375
735470.750000,25.615809
735470.791667,25.621320
735470.833333,25.613727
735470.875000,25.633264
735470.916667,25.642476
735470.958333,25.711784
735471.000000,25.697486
735471.041667,25.730384
735471.083333,25.723854
735471.125000,25.724364
735471.166667,25.730638
735471.208333,25.704209
735471.250000,25.663338
735471.291667,25.665335
735471.333333,25.621660
735471.375000,25.600294
735471.416667,25.589334
735471.458333,25.560531
735471.500000,25.521726
735471.541667,25.499877
735471.583333,25.542732
735471.625000,25.533168
735471.666667,25.536155
735471.708333,25.567170
735471.750000,25.584548
735471.791667,25.595163
735471.833333,25.624474
735471.875000,25.627452
735471.916667,25.663392
735471.958333,25.710726
735472.000000,25.715267
735472.041667,25.742445
735472.083333,25.716201
735472.125000,25.720346
735472.166667,25.716258
735472.208333,25.697102
735472.250000,25.686414
735472.291667,25.679890
735472.333333,25.636609
735472.375000,25.644794
735472.416667,25.610034
735472.458333,25.622181
735472.500000,25.631933
735472.541667,25.648452
735472.583333,25.638229
735472.625000,25.652783
735472.666667,25.675857
735472.708333,25.658065
735472.750000,25.644572
735472.791667,25.701777
735472.833333,25.694272
735472.875000,25.701578
735472.916667,25.716458
735472.958333,25.705268
735473.000000,25.733538
735473.041667,25.742522
735473.083333,25.750639
735473.125000,25.748931
735473.166667,25.719104
735473.208333,25.710282
735473.250000,25.684926
735473.291667,25.668851
735473.333333,25.634354
735473.375000,25.601108
735473.416667,25.588608
735473.458333,25.571697
735473.500000,25.560467
735473.541667,25.566600
735473.583333,25.534251
735473.625000,25.546901
735473.666667,25.563511
735473.708333,25.542583
735473.750000,25.575234
735473.791667,25.603208
735473.833333,25.641753
735473.875000,25.656782
735473.916667,25.697777
735473.958333,25.717230
735474.000000,25.754086
735474.041667,25.780035
735474.083333,25.790562
735474.125000,25.788152
735474.166667,25.789978
735474.208333,25.741914
735474.250000,25.718256
735474.291667,25.724727
735474.333333,25.693165
735474.375000,25.705661
735474.416667,25.681481
735474.458333,25.664633
735474.500000,25.674347
735474.541667,25.647326
735474.583333,25.649531
735474.625000,25.669532
735474.666667,25.662852
735474.708333,25.639703
735474.750000,25.653420
735474.791667,25.698160
735474.833333,25.716354
735474.875000,25.746371
735474.916667,25.771263
735474.958333,25.800109
735475.000000,25.822806
735475.041667,25.804352
735475.083333,25.795855
735475.125000,25.801004
735475.166667,25.780846
735475.208333,25.760382
735475.250000,25.739727
735475.291667,25.762394
735475.333333,25.706058
735475.375000,25.683077
735475.416667,25.687654
735475.458333,25.660137
735475.500000,25.651829
735475.541667,25.633543
735475.583333,25.665727
735475.625000,25.662093
735475.666667,25.691160
735475.708333,25.712338
735475.750000,25.727466
735475.791667,25.760584
735475.833333,25.788249
735475.875000,25.789124
735475.916667,25.830190
735475.958333,25.843524
735476.000000,25.907736
735476.041667,25.904409
735476.083333,25.904578
735476.125000,25.891567
735476.166667,25.913537
735476.208333,25.890755
735476.250000,25.915602
735476.291667,25.909244
735476.333333,25.911689
735476.375000,25.904063
735476.416667,25.904657
735476.458333,25.930795
735476.500000,25.928328
735476.541667,25.865467
735476.583333,25.860175
735476.625000,25.863658
735476.666667,25.897554
735476.708333,25.907175
735476.750000,25.921455
735476.791667,25.895124
735476.833333,25.913974
735476.875000,25.896110
735476.916667,25.931483
735476.958333,25.919193
735477.000000,25.887440
735477.041667,25.896593
735477.083333,25.910478
735477.125000,25.883626
735477.166667,25.853399
735477.208333,25.848165
735477.250000,25.860832
735477.291667,25.843089
735477.333333,25.822985
735477.375000,25.817455
735477.416667,25.792510
