Depl-Y1, '1993-08-16-12:00:00' 
731671.250000,26.514490
731678.260417,26.179841
731685.270833,26.704831
731692.281250,26.600242
731699.291667,25.819618
731706.302083,25.711659
731713.312500,25.352938
731720.322917,25.017219
731727.333333,24.300963
731734.343750,25.111764
731741.354167,25.836413
731748.364583,25.776796
731755.375000,26.177502
731762.385417,26.385407
731769.395833,26.068504
731776.406250,26.127180
731783.416667,26.447641
731790.427083,26.300239
731797.437500,25.836519
731804.447917,25.718636
731811.458333,25.403839
731818.468750,25.577424
731825.479167,25.350451
731832.489583,25.705221
731839.500000,25.935344
731846.510417,25.946752
731853.520833,26.202661
731860.531250,26.552246
731867.541667,26.712223
731874.552083,26.093531
731881.562500,25.657358
731888.572917,26.358905
731895.583333,26.635781
731902.593750,25.993654
731909.604167,25.923945
731916.614583,25.227099
731923.625000,24.883737
731930.635417,24.793197
731937.645833,25.202091
731944.656250,25.467364
731951.666667,25.343855
731958.677083,25.855997
731965.687500,25.244599
731972.697917,25.220689
731979.708333,25.330795
731986.718750,25.219561
731993.729167,25.393815
732000.739583,25.835466
732007.750000,26.508081
732014.760417,26.640163
732021.770833,26.262160
732028.781250,26.483238
732035.791667,26.029797
732042.802083,26.183943
732049.812500,26.111863
732056.822917,26.186387
732063.833333,26.458802
732070.843750,26.864507
732077.854167,26.825514
732084.864583,26.262199
732091.875000,26.556990
732098.885417,27.507768
732105.895833,26.940498
732112.906250,26.607816
732119.916667,26.320333
732126.927083,25.821657
732133.937500,25.703656
732141.000000,25.908850
732148.010417,26.309217
732155.020833,25.793408
732162.031250,26.319966
732169.041667,25.914328
732176.052083,25.911044
732183.062500,25.700941
732190.072917,25.362219
732197.083333,24.962090
732204.093750,25.319435
732211.104167,24.983490
732218.114583,25.402888
732225.125000,25.259717
732232.135417,25.498589
732239.145833,25.201472
732246.156250,24.846314
732253.166667,24.877333
732260.177083,24.836754
732267.187500,24.745860
732274.197917,24.647293
732281.208333,24.266251
732288.218750,24.320602
732295.229167,23.958427
732302.239583,24.535808
732309.250000,24.667322
732316.260417,24.520336
732323.270833,24.532411
732330.281250,24.402004
732337.291667,25.022628
732344.302083,24.788033
732351.312500,24.993738
732358.322917,25.111595
732365.333333,25.027225
732372.343750,24.396115
732379.354167,24.042975
732386.364583,23.978433
732393.375000,24.273394
732400.385417,24.550738
732407.395833,24.675043
732414.406250,24.755080
732421.416667,24.485547
732428.427083,24.549491
732435.437500,24.805362
732442.447917,25.134960
732449.458333,25.166165
732456.468750,25.567979
732463.479167,24.915111
732470.489583,24.878019
732477.500000,25.399780
732484.510417,24.842495
732491.520833,25.160381
732498.531250,25.558816
732505.541667,25.520314
732512.552083,25.714963
732519.562500,25.412564
732526.572917,25.248762
732533.583333,25.175194
732540.593750,24.567497
732547.604167,24.604086
732554.614583,24.431750
732561.625000,24.192937
732568.635417,24.126778
732575.645833,23.549114
732582.656250,23.178130
732589.666667,23.434137
732596.677083,23.509762
732603.687500,23.974018
732610.697917,22.968241
732617.708333,23.250654
732624.718750,23.387799
732631.729167,24.216943
732638.739583,23.337307
732645.750000,23.301204
732652.760417,23.214385
732659.770833,23.242633
732666.781250,22.876602
732673.791667,22.593882
732680.802083,22.689753
732687.812500,23.369718
732694.822917,23.453038
732701.833333,23.524541
732708.843750,23.289890
732715.854167,23.588664
732722.864583,23.795066
732729.875000,24.533146
732736.885417,24.782488
732743.895833,24.623256
732750.906250,24.947522
732757.916667,24.615464
732764.927083,24.453869
732771.937500,25.532497
732778.947917,25.361627
732785.958333,25.328670
732792.968750,24.717931
732799.979167,24.823230
732806.989583,25.024934
732814.000000,24.708398
732821.010417,24.900202
732828.020833,23.871106
732835.031250,24.189030
732842.041667,23.485446
732849.052083,23.293078
732856.062500,23.770595
732863.072917,23.822496
732870.083333,23.070248
732877.093750,23.427436
732884.104167,22.979322
732891.114583,23.510290
732898.125000,23.196750
732905.135417,23.424764
732912.145833,23.302515
732919.156250,23.665400
732926.166667,23.224477
732933.177083,23.720252
732940.187500,23.752498
732947.197917,24.039156
732954.208333,24.031807
732961.218750,24.015071
732968.229167,23.917369
732975.239583,23.395931
732982.250000,23.876082
732989.260417,23.618141
732996.270833,23.687370
733003.281250,23.992878
733010.291667,24.049181
733017.302083,24.532505
733024.312500,24.803125
733031.322917,24.728009
733038.333333,24.514160
733045.343750,24.230318
733052.354167,23.978740
733059.364583,23.999442
733066.375000,23.730927
733073.385417,24.061494
733080.395833,23.935029
733087.406250,23.515757
733094.416667,23.901605
733101.427083,23.674893
733108.437500,23.923772
733115.447917,23.538811
733122.458333,24.156338
733129.468750,24.078609
733136.479167,22.970209
733143.489583,22.211648
733150.500000,22.886111
733157.510417,22.524719
733164.520833,22.747977
733171.531250,22.386717
733178.541667,22.235541
733185.552083,21.997584
733192.562500,22.890638
733199.572917,22.557897
733206.583333,22.611320
733213.593750,23.100346
733220.604167,23.026164
733227.614583,23.864203
733234.625000,24.283976
733241.635417,23.603280
733248.645833,24.000319
733255.656250,23.501795
733262.666667,22.945321
733269.677083,23.092172
733276.687500,23.089261
733283.697917,23.241125
733290.708333,23.320855
733297.718750,23.814551
733304.729167,24.047657
733311.739583,24.568647
733318.750000,24.595146
733325.760417,25.389045
733332.770833,25.142551
733339.781250,25.000610
733346.791667,24.465206
733353.802083,24.289779
733360.812500,24.246148
733367.822917,23.800902
733374.833333,23.599942
733381.843750,23.544957
733388.854167,23.867857
733395.864583,23.867494
733402.875000,23.720735
733409.885417,23.723093
733416.895833,23.582355
733423.906250,23.666120
733430.916667,23.449458
733437.927083,22.684457
733444.937500,23.249232
733451.947917,22.304447
733458.958333,22.016488
733465.968750,22.756514
733472.979167,22.596983
733479.989583,22.619740
733487.000000,22.288442
733494.010417,22.617807
733501.020833,21.961694
733508.031250,22.217098
733515.041667,23.061841
733522.052083,22.456258
733529.062500,22.468978
733536.072917,22.336095
733543.083333,22.766678
733550.093750,23.432609
733557.104167,23.495500
733564.114583,23.642493
733571.125000,24.466855
733578.135417,23.983253
733585.145833,24.152753
733592.156250,24.727878
733599.166667,24.667649
733606.177083,24.258638
733613.187500,23.990490
733620.197917,24.311082
733627.208333,23.530272
733634.218750,23.447869
733641.229167,23.586516
733648.239583,23.283803
733655.250000,23.491042
733662.260417,23.620280
733669.270833,24.540099
733676.281250,23.795404
733683.291667,24.127738
733690.302083,24.063760
733697.312500,23.787254
733704.322917,23.936141
733711.333333,23.556442
733718.343750,23.298261
733725.354167,23.039254
733732.364583,23.373980
733739.375000,22.674248
733746.385417,22.952113
733753.395833,22.808298
733760.406250,22.760115
733767.416667,22.529079
733774.427083,21.829371
733781.437500,22.060534
733788.447917,21.559186
733795.458333,21.583792
733802.468750,21.133942
733809.479167,21.472305
733816.489583,21.166782
733823.500000,21.249893
733830.510417,21.477183
733837.520833,21.612438
733844.531250,21.314815
733851.541667,21.618840
733858.552083,21.889503
733865.562500,22.482699
733872.572917,22.196086
733879.583333,21.897444
733886.593750,22.125693
733893.604167,22.122766
733900.614583,21.993904
733907.625000,21.769887
733914.635417,22.090250
733921.645833,22.704426
733928.656250,22.692905
733935.666667,22.193871
733942.677083,22.335912
733949.687500,21.894179
733956.697917,22.518476
733963.708333,22.567184
733970.718750,22.105111
733977.729167,21.708132
733984.739583,21.697603
733991.750000,22.055539
733998.760417,21.422867
734005.770833,21.165335
734012.781250,20.520910
734019.791667,20.577862
734026.802083,20.354684
734033.812500,20.838238
734040.822917,20.879021
734047.833333,20.401193
734054.843750,20.590327
734061.854167,20.124220
734068.864583,20.376117
734075.875000,21.027048
734082.885417,20.192103
734089.895833,20.630185
734096.906250,20.022066
734103.916667,20.366486
734110.927083,20.542164
734117.937500,20.749379
734124.947917,20.878110
734131.958333,20.167653
734138.968750,20.144738
734145.979167,19.726209
734152.989583,19.576375
734160.000000,20.036998
734167.010417,19.807083
734174.020833,19.707001
734181.031250,20.506299
734188.041667,20.495617
734195.052083,20.876646
734202.062500,20.244224
734209.072917,20.726146
734216.083333,20.588003
734223.093750,21.113728
734230.104167,20.846683
734237.114583,21.274962
734244.125000,20.851525
734251.135417,20.861141
734258.145833,21.058737
734265.156250,21.360383
734272.166667,20.847539
734279.177083,21.013061
734286.187500,20.201056
734293.197917,20.618642
734300.208333,20.528450
734307.218750,20.233238
734314.229167,19.833704
734321.239583,20.012613
734328.250000,19.258823
734335.260417,19.221458
734342.270833,19.467732
734349.281250,20.075415
734356.291667,20.232416
734363.302083,20.147980
734370.312500,20.920416
734377.322917,20.668037
734384.333333,20.270746
734391.343750,20.692877
734398.354167,20.372151
734405.364583,20.155587
734412.375000,20.897161
734419.385417,20.063345
734426.395833,20.305605
734433.406250,19.736292
734440.416667,19.455334
734447.427083,18.816466
734454.437500,18.612721
734461.447917,19.438068
734468.458333,18.221881
734475.468750,18.180398
734482.479167,18.386244
734489.489583,17.999266
734496.500000,18.509695
734503.510417,18.616566
734510.520833,18.422347
734517.531250,18.664547
734524.541667,18.917154
734531.552083,18.627024
734538.562500,19.196094
734545.572917,18.929825
734552.583333,18.918789
734559.593750,19.477599
734566.604167,19.938615
734573.614583,19.643785
734580.625000,19.634150
734587.635417,19.976447
734594.645833,19.955726
734601.656250,20.206443
734608.666667,20.178473
734615.677083,20.369121
734622.687500,20.747494
734629.697917,20.804775
734636.708333,21.348664
734643.718750,20.698920
734650.729167,20.751461
734657.739583,20.724687
734664.750000,20.876512
734671.760417,21.187342
734678.770833,20.487077
734685.781250,20.056832
734692.791667,19.652410
734699.802083,19.768904
734706.812500,19.069404
734713.822917,18.659005
734720.833333,18.099210
734727.843750,17.623799
734734.854167,17.283899
734741.864583,16.946470
734748.875000,17.795313
734755.885417,18.599010
734762.895833,18.738337
734769.906250,18.278451
734776.916667,17.777116
734783.927083,17.556837
734790.937500,17.348196
734797.947917,17.174966
734804.958333,18.062794
734811.968750,17.742969
734818.979167,18.204801
734825.989583,17.727933
734833.000000,18.401444
734840.010417,18.575817
734847.020833,18.417730
734854.031250,18.015671
734861.041667,18.249251
