LTU014PIAEVA920', 
732609,-7.41
732610,-7.39
732611,-7.35
732612,-7.32
732613,-7.29
732614,-7.26
732615,-7.17
732616,-7.1
732617,-7.1
732618,-7.1
732619,-7.09
732620,-7.07
732621,-7.03
732622,-6.99
732623,-6.92
732626,-6.79
732627,-6.76
732628,-6.7
732629,-6.64
732630,-6.59
732631,-6.63
732635,-6.57
732636,-6.49
732637,-6.42
732638,-6.44
732639,-6.42
732640,-6.42
732641,-6.38
732642,-6.34
732643,-6.33
732644,-6.29
732645,-6.21
732647,-6.18
732648,-6.18
732649,-6.18
732650,-6.17
732651,-6.13
732652,-6.1
732653,-6.06
732654,-6.02
732655,-6.01
732656,-5.97
732657,-5.95
732658,-5.93
732659,-5.94
732660,-6.01
732661,-6
732662,-5.97
732663,-5.95
732664,-5.86
732665,-5.85
732666,-5.83
732667,-5.88
732668,-5.9
732674.125,-5.83
732675,-5.79
732676,-5.79
732677,-5.85
732678,-5.89
732679,-5.9
732680,-5.85
732681,-5.86
732682,-5.87
732683,-5.8
732684,-5.8
732685,-5.81
732686,-5.84
732687,-5.78
732688,-5.73
732689,-5.74
732690,-5.73
732691,-5.75
732692,-5.8
732693,-5.86
732694,-5.85
732695,-5.87
732696,-5.8
732697,-5.8
732698,-5.79
732699,-5.8
732700,-5.81
732701,-5.78
732702,-5.77
732703,-5.77
732704,-5.79
732705,-5.8
732706,-5.78
732707,-5.8
732708,-5.79
732709,-5.78
732710,-5.78
732711,-5.78
732712,-5.79
732713,-5.8
732714,-5.84
732715,-5.88
732716,-5.86
732717,-5.89
732718,-5.93
732719,-5.95
732720,-5.96
732721,-5.96
732722,-5.93
732723,-5.9
732724,-6.01
732725,-6.08
732726,-6.12
732727,-6.16
732728,-6.14
732729,-6.08
732730,-6.05
732731,-6.04
732732,-6.02
732733,-6.06
732734,-6.11
732735,-6.16
732736,-6.13
732737,-6.19
732738,-6.16
732739,-6.15
732740,-6.12
732741,-6.06
732742,-6.03
732743,-6.02
732744,-6.04
732745,-6.03
732746,-5.98
732747,-5.97
732748,-5.98
732749,-6.01
732750,-6.02
732751,-6.04
732752,-6.06
732753,-6.06
732754,-6.06
732755,-6.07
732756,-6.07
732757,-6.04
732758,-6.04
732759,-6.05
732760,-6.06
732761,-6.07
732762,-6.08
732763,-6.1
732764,-6.12
732765,-6.11
732766,-6.19
732767,-6.22
732768,-6.25
732769,-6.28
732770,-6.3
732771,-6.3
732772,-6.33
732773,-6.33
732774,-6.35
732775,-6.35
732776,-6.36
732777,-6.38
732779,-6.46
732780,-6.47
