LTU017PIAPRG300',2009-12-07-16:00:00'
734148.708333333 , -17.17
734148.75 , -17.17
734148.791666667 , -17.17
734148.833333333 , -17.18
734148.875 , -17.17
734148.916666667 , -17.17
734148.958333333 , -17.17
734149 , -17.17
734149.041666667 , -17.17
734149.083333333 , -17.17
734149.125 , -17.16
734149.166666667 , -17.16
734149.208333333 , -17.16
734149.25 , -17.15
734149.291666667 , -17.15
734149.333333333 , -17.15
734149.375 , -17.15
734149.416666667 , -17.15
734149.458333333 , -17.15
734149.5 , -17.15
734149.541666667 , -17.15
734149.583333333 , -17.15
734149.625 , -17.15
734149.666666667 , -17.15
734149.708333333 , -17.15
734149.75 , -17.15
734149.791666667 , -17.15
734149.833333333 , -17.13
734149.875 , -17.13
734149.916666667 , -17.12
734149.958333333 , -17.12
734150 , -17.12
734150.041666667 , -17.11
734150.083333333 , -17.11
734150.125 , -17.11
734150.166666667 , -17.1
734150.208333333 , -17.1
734150.25 , -17.09
734150.291666667 , -17.09
734150.333333333 , -17.09
734150.375 , -17.09
734150.416666667 , -17.09
734150.458333333 , -17.09
734150.5 , -17.09
734150.541666667 , -17.1
734150.583333333 , -17.11
734150.625 , -17.1
734150.666666667 , -17.11
734150.708333333 , -17.1
734150.75 , -17.1
734150.791666667 , -17.11
734150.833333333 , -17.11
734150.875 , -17.11
734150.916666667 , -17.1
734150.958333333 , -17.1
734151 , -17.09
734151.041666667 , -17.07
734151.083333333 , -17.07
734151.125 , -17.06
734151.166666667 , -17.06
734151.208333333 , -17.05
734151.25 , -17.05
734151.291666667 , -17.05
734151.333333333 , -17.05
734151.375 , -17.05
734151.416666667 , -17.05
734151.458333333 , -17.05
734151.5 , -17.05
734151.541666667 , -17.05
734151.583333333 , -17.05
734151.625 , -17.06
734151.666666667 , -17.06
734151.708333333 , -17.06
734151.75 , -17.06
734151.791666667 , -17.06
734151.833333333 , -17.07
734151.875 , -17.07
734151.916666667 , -17.09
734151.958333333 , -17.09
734152 , -17.09
734152.041666667 , -17.09
734152.083333333 , -17.07
734152.125 , -17.07
734152.166666667 , -17.07
734152.208333333 , -17.07
734152.25 , -17.07
734152.291666667 , -17.07
734152.333333333 , -17.07
734152.375 , -17.09
734152.416666667 , -17.09
734152.458333333 , -17.09
734152.5 , -17.1
734152.541666667 , -17.1
734152.583333333 , -17.1
734152.625 , -17.1
734152.666666667 , -17.09
734152.708333333 , -17.09
734152.75 , -17.1
734152.791666667 , -17.1
734152.833333333 , -17.1
734152.875 , -17.1
734152.916666667 , -17.1
734152.958333333 , -17.1
734153 , -17.1
734153.041666667 , -17.1
734153.083333333 , -17.1
734153.125 , -17.1
734153.166666667 , -17.1
734153.208333333 , -17.1
734153.25 , -17.1
734153.291666667 , -17.1
734153.333333333 , -17.1
734153.375 , -17.1
734153.416666667 , -17.11
734153.458333333 , -17.11
734153.5 , -17.11
734153.541666667 , -17.11
734153.583333333 , -17.11
734153.625 , -17.11
734153.666666667 , -17.11
734153.708333333 , -17.11
734153.75 , -17.11
734153.791666667 , -17.11
734153.833333333 , -17.1
734153.875 , -17.1
734153.916666667 , -17.09
734153.958333333 , -17.09
734154 , -17.07
734154.041666667 , -17.07
734154.083333333 , -17.06
734154.125 , -17.06
734154.166666667 , -17.05
734154.208333333 , -17.05
734154.25 , -17.05
734154.291666667 , -17.05
734154.333333333 , -17.04
734154.375 , -17.04
734154.416666667 , -17.04
734154.458333333 , -17.02
734154.5 , -17.04
734154.541666667 , -17.04
734154.583333333 , -17.04
734154.625 , -17.04
734154.666666667 , -17.04
734154.708333333 , -17.04
734154.75 , -17.04
734154.791666667 , -17.04
734154.833333333 , -17.04
734154.875 , -17.04
734154.916666667 , -17.04
734154.958333333 , -17.04
734155 , -17.04
734155.041666667 , -17.04
734155.083333333 , -17.04
734155.125 , -17.04
734155.166666667 , -17.04
734155.208333333 , -17.04
734155.25 , -17.04
734155.291666667 , -17.04
734155.333333333 , -17.04
734155.375 , -17.04
734155.416666667 , -17.05
734155.458333333 , -17.05
734155.5 , -17.05
734155.541666667 , -17.05
734155.583333333 , -17.05
734155.625 , -17.05
734155.666666667 , -17.05
734155.708333333 , -17.05
734155.75 , -17.05
734155.791666667 , -17.06
734155.833333333 , -17.06
734155.875 , -17.06
734155.916666667 , -17.06
