'LTU037THAPRG900',2010-07-15-23:00:00'
734358.8333,NaN
734358.875,NaN
734358.9167,NaN
734358.9583,NaN
734359,20.91
734359.0417,NaN
734359.0833,NaN
734359.125,NaN
734359.1667,NaN
734359.2083,NaN
734359.25,NaN
734359.2917,NaN
734359.3333,NaN
734359.375,NaN
734359.4167,NaN
734359.4583,NaN
734359.5,21.18
734359.5417,NaN
734359.5833,NaN
734359.625,NaN
734359.6667,NaN
734359.7083,NaN
734359.75,NaN
734359.7917,NaN
734359.8333,NaN
734359.875,NaN
734359.9167,NaN
734359.9583,NaN
734360,21.44
734360.0417,NaN
734360.0833,NaN
734360.125,NaN
734360.1667,NaN
734360.2083,NaN
734360.25,NaN
734360.2917,NaN
734360.3333,NaN
734360.375,NaN
734360.4167,NaN
734360.4583,NaN
734360.5,21.63
734360.5417,NaN
734360.5833,NaN
734360.625,NaN
734360.6667,NaN
734360.7083,NaN
734360.75,NaN
734360.7917,NaN
734360.8333,NaN
734360.875,NaN
734360.9167,NaN
734360.9583,NaN
734361,21.53
734361.0417,NaN
734361.0833,NaN
734361.125,NaN
734361.1667,NaN
734361.2083,NaN
734361.25,NaN
734361.2917,NaN
734361.3333,NaN
734361.375,NaN
734361.4167,NaN
734361.4583,NaN
734361.5,21.35
734361.5417,NaN
734361.5833,NaN
734361.625,NaN
734361.6667,NaN
734361.7083,NaN
734361.75,NaN
734361.7917,NaN
734361.8333,NaN
734361.875,NaN
734361.9167,NaN
734361.9583,NaN
734362,21.77
734362.0417,NaN
734362.0833,NaN
734362.125,NaN
734362.1667,NaN
734362.2083,NaN
734362.25,NaN
734362.2917,NaN
734362.3333,NaN
734362.375,NaN
734362.4167,NaN
734362.4583,NaN
734362.5,21.11
734362.5417,NaN
734362.5833,NaN
734362.625,NaN
734362.6667,NaN
734362.7083,NaN
734362.75,NaN
734362.7917,NaN
734362.8333,NaN
734362.875,NaN
734362.9167,NaN
734362.9583,NaN
734363,21.78
734363.0417,NaN
734363.0833,NaN
734363.125,NaN
734363.1667,NaN
734363.2083,NaN
734363.25,NaN
734363.2917,NaN
734363.3333,NaN
734363.375,NaN
734363.4167,NaN
734363.4583,NaN
734363.5,21.2
734363.5417,NaN
734363.5833,NaN
734363.625,NaN
734363.6667,NaN
734363.7083,NaN
734363.75,NaN
734363.7917,NaN
734363.8333,NaN
734363.875,NaN
734363.9167,NaN
734363.9583,NaN
734364,21.35
734364.0417,NaN
734364.0833,NaN
734364.125,NaN
734364.1667,NaN
734364.2083,NaN
734364.25,NaN
734364.2917,NaN
734364.3333,NaN
734364.375,NaN
734364.4167,NaN
734364.4583,NaN
734364.5,21.71
734364.5417,NaN
734364.5833,NaN
734364.625,NaN
734364.6667,NaN
734364.7083,NaN
734364.75,NaN
734364.7917,NaN
734364.8333,NaN
734364.875,NaN
734364.9167,NaN
734364.9583,NaN
734365,21.43
734365.0417,NaN
734365.0833,NaN
734365.125,NaN
734365.1667,NaN
734365.2083,NaN
734365.25,NaN
734365.2917,NaN
734365.3333,NaN
734365.375,NaN
734365.4167,NaN
734365.4583,NaN
734365.5,21.59
734365.5417,NaN
734365.5833,NaN
734365.625,NaN
734365.6667,NaN
734365.7083,NaN
734365.75,NaN
734365.7917,NaN
734365.8333,NaN
734365.875,NaN
734365.9167,NaN
734365.9583,NaN
734366,21.59
734366.0417,NaN
734366.0833,NaN
734366.125,NaN
734366.1667,NaN
734366.2083,NaN
734366.25,NaN
734366.2917,NaN
734366.3333,NaN
734366.375,NaN
734366.4167,NaN
734366.4583,NaN
734366.5,21.47
734366.5417,NaN
734366.5833,NaN
734366.625,NaN
734366.6667,NaN
734366.7083,NaN
734366.75,NaN
734366.7917,NaN
734366.8333,NaN
734366.875,NaN
734366.9167,NaN
734366.9583,NaN
734367,21.57
734367.0417,NaN
734367.0833,NaN
734367.125,NaN
734367.1667,NaN
734367.2083,NaN
734367.25,NaN
734367.2917,NaN
734367.3333,NaN
734367.375,NaN
734367.4167,NaN
734367.4583,NaN
734367.5,21.49
734367.5417,NaN
734367.5833,NaN
734367.625,NaN
734367.6667,NaN
734367.7083,NaN
734367.75,NaN
734367.7917,NaN
734367.8333,NaN
734367.875,NaN
734367.9167,NaN
734367.9583,NaN
734368,21.38
734368.0417,NaN
734368.0833,NaN
734368.125,NaN
734368.1667,NaN
734368.2083,NaN
734368.25,NaN
734368.2917,NaN
734368.3333,NaN
734368.375,NaN
734368.4167,NaN
734368.4583,NaN
734368.5,21.22
734368.5417,NaN
734368.5833,NaN
734368.625,NaN
734368.6667,NaN
734368.7083,NaN
734368.75,NaN
734368.7917,NaN
734368.8333,NaN
734368.875,NaN
734368.9167,NaN
734368.9583,NaN
734369,21.24
734369.0417,NaN
734369.0833,NaN
734369.125,NaN
734369.1667,NaN
734369.2083,NaN
734369.25,NaN
734369.2917,NaN
734369.3333,NaN
734369.375,NaN
734369.4167,NaN
734369.4583,NaN
734369.5,20.91
734369.5417,NaN
734369.5833,NaN
734369.625,NaN
734369.6667,NaN
734369.7083,NaN
734369.75,NaN
734369.7917,NaN
734369.8333,NaN
734369.875,NaN
734369.9167,NaN
734369.9583,NaN
734370,21.11
734370.0417,NaN
734370.0833,NaN
734370.125,NaN
734370.1667,NaN
734370.2083,NaN
734370.25,NaN
734370.2917,NaN
734370.3333,NaN
734370.375,NaN
734370.4167,NaN
734370.4583,NaN
734370.5,21.16
734370.5417,NaN
734370.5833,NaN
734370.625,NaN
734370.6667,NaN
734370.7083,NaN
734370.75,NaN
734370.7917,NaN
734370.8333,NaN
734370.875,NaN
734370.9167,NaN
734370.9583,NaN
734371,20.83
734371.0417,NaN
734371.0833,NaN
734371.125,NaN
734371.1667,NaN
734371.2083,NaN
734371.25,NaN
734371.2917,NaN
734371.3333,NaN
734371.375,NaN
734371.4167,NaN
734371.4583,NaN
734371.5,20.67
734371.5417,NaN
734371.5833,NaN
734371.625,NaN
734371.6667,NaN
734371.7083,NaN
734371.75,NaN
734371.7917,NaN
734371.8333,NaN
734371.875,NaN
734371.9167,NaN
734371.9583,NaN
734372,20.66
734372.0417,NaN
734372.0833,NaN
734372.125,NaN
734372.1667,NaN
734372.2083,NaN
734372.25,NaN
734372.2917,NaN
734372.3333,NaN
734372.375,NaN
734372.4167,NaN
734372.4583,NaN
734372.5,20.45
734372.5417,NaN
734372.5833,NaN
734372.625,NaN
734372.6667,NaN
734372.7083,NaN
734372.75,NaN
734372.7917,NaN
734372.8333,NaN
734372.875,NaN
734372.9167,NaN
734372.9583,NaN
734373,20.4
734373.0417,NaN
734373.0833,NaN
734373.125,NaN
734373.1667,NaN
734373.2083,NaN
734373.25,NaN
734373.2917,NaN
734373.3333,NaN
734373.375,NaN
734373.4167,NaN
734373.4583,NaN
734373.5,20.2
734373.5417,NaN
734373.5833,NaN
734373.625,NaN
734373.6667,NaN
734373.7083,NaN
734373.75,NaN
734373.7917,NaN
734373.8333,NaN
734373.875,NaN
734373.9167,NaN
734373.9583,NaN
734374,20.36
734374.0417,NaN
734374.0833,NaN
734374.125,NaN
734374.1667,NaN
734374.2083,NaN
734374.25,NaN
734374.2917,NaN
734374.3333,NaN
734374.375,NaN
734374.4167,NaN
734374.4583,NaN
734374.5,20.56
734374.5417,NaN
734374.5833,NaN
734374.625,NaN
734374.6667,NaN
734374.7083,NaN
734374.75,NaN
734374.7917,NaN
734374.8333,NaN
734374.875,NaN
734374.9167,NaN
734374.9583,NaN
734375,20.55
734375.0417,NaN
734375.0833,NaN
734375.125,NaN
734375.1667,NaN
734375.2083,NaN
734375.25,NaN
734375.2917,NaN
734375.3333,NaN
734375.375,NaN
734375.4167,NaN
734375.4583,NaN
734375.5,20.64
734375.5417,NaN
734375.5833,NaN
734375.625,NaN
734375.6667,NaN
734375.7083,NaN
734375.75,NaN
734375.7917,NaN
734375.8333,NaN
734375.875,NaN
734375.9167,NaN
734375.9583,NaN
734376,20.47
734376.0417,NaN
734376.0833,NaN
734376.125,NaN
734376.1667,NaN
734376.2083,NaN
734376.25,NaN
734376.2917,NaN
734376.3333,NaN
734376.375,NaN
734376.4167,NaN
734376.4583,NaN
734376.5,20.71
734376.5417,NaN
734376.5833,NaN
734376.625,NaN
734376.6667,NaN
734376.7083,NaN
734376.75,NaN
734376.7917,NaN
734376.8333,NaN
734376.875,NaN
734376.9167,NaN
734376.9583,NaN
734377,20.47
734377.0417,NaN
734377.0833,NaN
734377.125,NaN
734377.1667,NaN
734377.2083,NaN
734377.25,NaN
734377.2917,NaN
734377.3333,NaN
734377.375,NaN
734377.4167,NaN
734377.4583,NaN
734377.5,20.47
734377.5417,NaN
734377.5833,NaN
734377.625,NaN
734377.6667,NaN
734377.7083,NaN
734377.75,NaN
734377.7917,NaN
734377.8333,NaN
734377.875,NaN
734377.9167,NaN
734377.9583,NaN
734378,20.31
734378.0417,NaN
734378.0833,NaN
734378.125,NaN
734378.1667,NaN
734378.2083,NaN
734378.25,NaN
734378.2917,NaN
734378.3333,NaN
734378.375,NaN
734378.4167,NaN
734378.4583,NaN
734378.5,20.28
734378.5417,NaN
734378.5833,NaN
734378.625,NaN
734378.6667,NaN
734378.7083,NaN
734378.75,NaN
734378.7917,NaN
734378.8333,NaN
734378.875,NaN
734378.9167,NaN
734378.9583,NaN
734379,20.39
734379.0417,NaN
734379.0833,NaN
734379.125,NaN
734379.1667,NaN
734379.2083,NaN
734379.25,NaN
734379.2917,NaN
734379.3333,NaN
734379.375,NaN
734379.4167,NaN
734379.4583,NaN
734379.5,20.74
734379.5417,NaN
734379.5833,NaN
734379.625,NaN
734379.6667,NaN
734379.7083,NaN
734379.75,NaN
734379.7917,NaN
734379.8333,NaN
734379.875,NaN
734379.9167,NaN
734379.9583,NaN
734380,20.76
734380.0417,NaN
734380.0833,NaN
734380.125,NaN
734380.1667,NaN
734380.2083,NaN
734380.25,NaN
734380.2917,NaN
734380.3333,NaN
734380.375,NaN
734380.4167,NaN
734380.4583,NaN
734380.5,21.02
734380.5417,NaN
734380.5833,NaN
734380.625,NaN
734380.6667,NaN
734380.7083,NaN
734380.75,NaN
734380.7917,NaN
734380.8333,NaN
734380.875,NaN
734380.9167,NaN
734380.9583,NaN
734381,21.17
734381.0417,NaN
734381.0833,NaN
734381.125,NaN
734381.1667,NaN
734381.2083,NaN
734381.25,NaN
734381.2917,NaN
734381.3333,NaN
734381.375,NaN
734381.4167,NaN
734381.4583,NaN
734381.5,21.18
734381.5417,NaN
734381.5833,NaN
734381.625,NaN
734381.6667,NaN
734381.7083,NaN
734381.75,NaN
734381.7917,NaN
734381.8333,NaN
734381.875,NaN
734381.9167,NaN
734381.9583,NaN
734382,21.14
734382.0417,NaN
734382.0833,NaN
734382.125,NaN
734382.1667,NaN
734382.2083,NaN
734382.25,NaN
734382.2917,NaN
734382.3333,NaN
734382.375,NaN
734382.4167,NaN
734382.4583,NaN
734382.5,21.37
734382.5417,NaN
734382.5833,NaN
734382.625,NaN
734382.6667,NaN
734382.7083,NaN
734382.75,NaN
734382.7917,NaN
734382.8333,NaN
734382.875,NaN
734382.9167,NaN
734382.9583,NaN
734383,21.28
734383.0417,NaN
734383.0833,NaN
734383.125,NaN
734383.1667,NaN
734383.2083,NaN
734383.25,NaN
734383.2917,NaN
734383.3333,NaN
734383.375,NaN
734383.4167,NaN
734383.4583,NaN
734383.5,21.49
734383.5417,NaN
734383.5833,NaN
734383.625,NaN
734383.6667,NaN
734383.7083,NaN
734383.75,NaN
734383.7917,NaN
734383.8333,NaN
734383.875,NaN
734383.9167,NaN
734383.9583,NaN
734384,21.49
734384.0417,NaN
734384.0833,NaN
734384.125,NaN
734384.1667,NaN
734384.2083,NaN
734384.25,NaN
734384.2917,NaN
734384.3333,NaN
734384.375,NaN
734384.4167,NaN
734384.4583,NaN
734384.5,21.33
734384.5417,NaN
734384.5833,NaN
734384.625,NaN
734384.6667,NaN
734384.7083,NaN
734384.75,NaN
734384.7917,NaN
734384.8333,NaN
734384.875,NaN
734384.9167,NaN
734384.9583,NaN
734385,21.19
734385.0417,NaN
734385.0833,NaN
734385.125,NaN
734385.1667,NaN
734385.2083,NaN
734385.25,NaN
734385.2917,NaN
734385.3333,NaN
734385.375,NaN
734385.4167,NaN
734385.4583,NaN
734385.5,21.23
734385.5417,NaN
734385.5833,NaN
734385.625,NaN
734385.6667,NaN
734385.7083,NaN
734385.75,NaN
734385.7917,NaN
734385.8333,NaN
734385.875,NaN
734385.9167,NaN
734385.9583,NaN
734386,20.97
734386.0417,NaN
734386.0833,NaN
734386.125,NaN
734386.1667,NaN
734386.2083,NaN
734386.25,NaN
734386.2917,NaN
734386.3333,NaN
734386.375,NaN
734386.4167,NaN
734386.4583,NaN
734386.5,20.68
734386.5417,NaN
734386.5833,NaN
734386.625,NaN
734386.6667,NaN
734386.7083,NaN
734386.75,NaN
734386.7917,NaN
734386.8333,NaN
734386.875,NaN
734386.9167,NaN
734386.9583,NaN
734387,20.5
734387.0417,NaN
734387.0833,NaN
734387.125,NaN
734387.1667,NaN
734387.2083,NaN
734387.25,NaN
734387.2917,NaN
734387.3333,NaN
734387.375,NaN
734387.4167,NaN
734387.4583,NaN
734387.5,20.28
734387.5417,NaN
734387.5833,NaN
734387.625,NaN
734387.6667,NaN
734387.7083,NaN
734387.75,NaN
734387.7917,NaN
734387.8333,NaN
734387.875,NaN
734387.9167,NaN
734387.9583,NaN
734388,20.24
734388.0417,NaN
734388.0833,NaN
734388.125,NaN
734388.1667,NaN
734388.2083,NaN
734388.25,NaN
734388.2917,NaN
734388.3333,NaN
734388.375,NaN
734388.4167,NaN
734388.4583,NaN
734388.5,20.18
734388.5417,NaN
734388.5833,NaN
734388.625,NaN
734388.6667,NaN
734388.7083,NaN
734388.75,NaN
734388.7917,NaN
734388.8333,NaN
734388.875,NaN
734388.9167,NaN
734388.9583,NaN
734389,20.04
734389.0417,NaN
734389.0833,NaN
734389.125,NaN
734389.1667,NaN
734389.2083,NaN
734389.25,NaN
734389.2917,NaN
734389.3333,NaN
734389.375,NaN
734389.4167,NaN
734389.4583,NaN
734389.5,19.85
734389.5417,NaN
734389.5833,NaN
734389.625,NaN
734389.6667,NaN
734389.7083,NaN
734389.75,NaN
734389.7917,NaN
734389.8333,NaN
734389.875,NaN
734389.9167,NaN
734389.9583,NaN
734390,19.87
734390.0417,NaN
734390.0833,NaN
734390.125,NaN
734390.1667,NaN
734390.2083,NaN
734390.25,NaN
734390.2917,NaN
734390.3333,NaN
734390.375,NaN
734390.4167,NaN
734390.4583,NaN
734390.5,19.69
734390.5417,NaN
734390.5833,NaN
734390.625,NaN
734390.6667,NaN
734390.7083,NaN
734390.75,NaN
