'LTU016PIAPE910',2003-01-08-00:00:00'
732278,1.29
732279,1.26
732280,1.27
732281,1.24
732282,1.22
732283,1.21
732284,1.16
732285,1.06
732286,1.01
732287,0.99
732288,0.95
732289,0.91
732290,0.91
732291,0.93
732292,0.91
732293,0.91
732294,0.91
732295,0.91
732296,0.89
732297,0.85
732298,0.85
732299,0.83
732300,0.81
732301,0.81
732302,0.77
732303,0.72
732304,0.7
732305,0.74
732306,0.7
732307,0.65
732308,0.59
732309,0.57
732310,0.57
732311,0.6
732312,0.62
732313,0.65
732314,0.68
732315,0.64
732316,0.67
732317,0.64
732318,0.62
732319,0.6
732320,0.62
732321,0.64
732322,0.64
732323,0.67
732324,0.67
732325,0.65
732326,0.69
732327,0.72
732328,0.68
732329,0.68
732330,0.65
732331,0.61
732332,0.57
732333,0.55
732334,0.5
732335,0.47
732336,0.44
732337,0.41
732338,0.4
732339,0.38
732340,0.34
732341,0.34
732342,0.36
732343,0.39
732344,0.39
732345,0.4
732346,0.41
732347,0.44
732348,0.46
732349,0.48
732350,0.51
732351,0.54
732352,0.59
732353,0.58
732354,0.57
732355,0.57
732356,0.58
732357,0.57
732358,0.58
732359,0.62
732360,0.65
732361,0.65
732362,0.62
732363,0.57
732364,0.53
732365,0.51
732366,0.54
732367,0.57
732368,0.56
732369,0.56
732370,0.54
732371,0.56
732372,0.55
732373,0.58
732374,0.6
732375,0.59
732376,0.6
732377,0.61
732378,0.62
732379,0.59
732380,0.6
732381,0.58
732382,0.58
732383,0.59
732384,0.62
732385,0.65
732386,0.68
732387,0.7
732388,0.73
732389,0.76
732390,0.77
732391,0.81
732392,0.83
732393,0.84
732394,0.87
732395,0.89
732396,0.9
732397,0.93
732398,0.92
732399,0.94
732400,0.97
732401,1
732402,1.05
732403,1.08
732404,1.09
732405,1.09
732406,1.1
732407,1.12
732408,1.16
732409,1.21
732410,1.18
732411,1.2
732412,1.22
732413,1.24
732414,1.23
732415,1.22
732416.2083,1.22
732417.2083,1.23
732418.2083,1.24
732419.2083,1.3
732420.2083,1.35
732421.2083,1.38
732422,1.43
732423,1.42
732424,1.41
732425,1.46
732426,1.45
732427,1.48
732428,1.46
732429,1.51
732430,1.51
732431,1.48
732432,1.48
732433,1.53
732434,1.53
732435,1.55
732436,1.56
732437,1.6
732438,1.65
732439,1.72
732440,1.78
732441,1.84
732442,1.93
732443,2.03
732444,2.04
732445,1.98
732446,2.03
732447,2.05
732448,2.04
732449,2.04
732450,2.08
732451,2.1
732452,2.14
732454.25,2.16
732455,2.21
732456,2.24
732457,2.3
732458,2.39
732459,2.42
732460,2.43
732461,2.47
732462,2.49
732463,2.54
732464,2.6
732465,2.69
732466,2.77
732467,2.83
732468,2.88
732469,2.92
732470,2.9
732471,2.91
732472,2.92
732473,2.93
732474,3
732475,3.08
732476,3.15
732477,3.23
732478,3.16
732479,3.12
732480,3.09
732481,3.06
732482,3.06
732483,3.08
732484,3.15
732485,3.22
732486,3.22
732487,3.22
732488,3.23
732489,3.29
732490,3.34
732491,3.42
732492,3.5
732493,3.54
732494,3.57
732495,3.58
732496,3.59
732497,3.61
732498,3.63
732499,3.61
732500,3.61
732501,3.63
732502,3.7
732503,3.72
732504,3.78
732505,3.82
732506,3.86
732507,3.87
732508,3.89
732509,3.92
732510,3.96
732511,3.98
732512,3.99
732513,4.02
732514,4.03
732515,4.05
732516,4.07
732517,4.07
732518,4.07
732519,4.03
732520,4.04
732521,4.03
732522,4.02
732523,4.01
732524,3.99
732525,3.99
732526,3.98
732527,3.98
732528,3.99
732529,3.99
732530,4.03
732531,4.04
732532,4.05
732533,4.07
732534,4.08
732535,4.07
732536,4.08
732537,4.09
732538,4.1
732539,4.09
732546.125,3.97
732547,3.94
732548,3.92
732549,3.92
732550,3.92
732551,3.92
732552,3.92
732553,3.92
732554,3.93
732555,3.9
732556,3.86
732557,3.84
732558,3.83
732559,3.81
732560,3.79
732561,3.77
