TrafficLoad, '2007-09-01-16:00:00' 
733298.7083,4.49845
733298.7292,4.20635
733298.75,4.53025
733298.7708,3.85355
733298.7917,2.17625
733298.8125,1.2043
733298.8333,0.9377
733298.8542,0.87575
733298.875,1.01845
733298.8958,1.110675
733298.9167,1.152425
733298.9375,1.14035
733298.9583,1.07445
733298.9792,0.8916
733299,0.5918
733299.0208,0.521175
733299.0417,0.679725
733299.0625,0.652075
733299.0833,0.438225
733299.1042,0.439975
733299.125,0.657325
733299.1458,0.80715
733299.1667,0.88945
733299.1875,1.160625
733299.2083,1.620675
733299.2292,2.72915
733299.25,4.48605
733299.2708,6.111525
733299.2917,7.605575
733299.3125,8.449875
733299.3333,8.644425
733299.3542,8.424175
733299.375,7.789125
733299.3958,7.8376
733299.4167,8.5696
733299.4375,8.261925
733299.4583,6.914575
733299.4792,7.074225
733299.5,8.740875
733299.5208,9.2558
733299.5417,8.619
733299.5625,8.172575
733299.5833,7.916525
733299.6042,7.505425
733299.625,6.939275
733299.6458,6.45245
733299.6667,6.04495
733299.6875,5.17485
733299.7083,3.84215
733299.7292,3.063
733299.75,2.8374
733299.7708,2.54275
733299.7917,2.17905
733299.8125,1.634125
733299.8333,0.907975
733299.8542,0.51375
733299.875,0.45145
733299.8958,0.583825
733299.9167,0.910875
733299.9375,1.0587
733299.9583,1.0273
733299.9792,0.82185
733300,0.44235
733300.0208,0.3011
733300.0417,0.3981
733300.0625,0.443275
733300.0833,0.436625
733300.1042,0.387475
733300.125,0.295825
733300.1458,0.334975
733300.1667,0.504925
733300.1875,0.7027
733300.2083,0.9283
733300.2292,1.2754
733300.25,1.744
733300.2708,2.240525
733300.2917,2.764975
733300.3125,2.937075
733300.3333,2.756825
733300.3542,2.936925
733300.375,3.477375
733300.3958,3.68215
733300.4167,3.55125
733300.4375,3.277
733300.4583,2.8594
733300.4792,2.550525
733300.5,2.350375
733300.5208,2.19705
733300.5417,2.09055
733300.5625,1.8825
733300.5833,1.5729
733300.6042,1.393025
733300.625,1.342875
733300.6458,1.30035
733300.6667,1.26545
733300.6875,1.136925
733300.7083,0.914775
733300.7292,0.8801
733300.75,1.0329
733300.7708,0.985025
733300.7917,0.736475
733300.8125,0.506925
733300.8333,0.296375
733300.8542,0.288275
733300.875,0.482625
733300.8958,0.48775
733300.9167,0.30365
733300.9375,0.2436
733300.9583,0.3076
733300.9792,0.321175
733301,0.284325
733301.0208,0.199425
733301.0417,0.066475
733301.0625,0.037
733301.0833,0.111
733301.1042,0.2305
733301.125,0.3955
733301.1458,0.397575
733301.1667,0.236725
733301.1875,0.220125
733301.2083,0.347775
733301.2292,0.54695
733301.25,0.81765
733301.2708,0.918225
733301.2917,0.848675
733301.3125,0.981975
733301.3333,1.318125
733301.3542,1.36905
733301.375,1.13475
733301.3958,1.093325
733301.4167,1.244775
733301.4375,1.344625
733301.4583,1.392875
733301.4792,1.302575
733301.5,1.073725
733301.5208,1.012625
733301.5417,1.119275
733301.5625,1.0816
733301.5833,0.8996
733301.6042,0.904375
733301.625,1.095925
733301.6458,1.19355
733301.6667,1.19725
733301.6875,1.2212
733301.7083,1.2654
733301.7292,1.095075
733301.75,0.710225
733301.7708,0.526725
733301.7917,0.544575
733301.8125,0.555725
733301.8333,0.560175
733301.8542,0.5511
733301.875,0.5285
733301.8958,0.4776
733301.9167,0.3984
733301.9375,0.381575
733301.9583,0.427125
733301.9792,0.338075
733302,0.114425
733302.0208,0.1021
733302.0417,0.3011
733302.0625,0.4321
733302.0833,0.4951
733302.1042,0.49745
733302.125,0.43915
733302.1458,0.63215
733302.1667,1.07645
733302.1875,1.359325
733302.2083,1.480775
733302.2292,2.29395
733302.25,3.79885
733302.2708,5.21225
733302.2917,6.53415
733302.3125,7.160425
733302.3333,7.091075
733302.3542,7.100825
733302.375,7.189675
733302.3958,7.3949
733302.4167,7.7165
733302.4375,7.98365
733302.4583,8.19635
733302.4792,8.5267
733302.5,8.9747
733302.5208,8.767825
733302.5417,7.906075
733302.5625,7.4039
733302.5833,7.2613
733302.6042,7.2649
733302.625,7.4147
733302.6458,7.179225
733302.6667,6.558475
733302.6875,5.79635
733302.7083,4.89285
733302.7292,4.42205
733302.75,4.38395
733302.7708,4.017375
733302.7917,3.322325
733302.8125,2.626825
733302.8333,1.930875
733302.8542,1.523825
733302.875,1.405675
733302.8958,1.389375
733302.9167,1.474925
733302.9375,1.488175
733302.9583,1.429125
733302.9792,1.4061
733303,1.4191
733303.0208,1.285425
733303.0417,1.005075
733303.0625,0.85275
733303.0833,0.82845
733303.1042,0.813975
733303.125,0.809325
733303.1458,0.887625
733303.1667,1.048875
733303.1875,1.364025
733303.2083,1.833075
733303.2292,2.890375
733303.25,4.535925
733303.2708,5.70565
733303.2917,6.39955
733303.3125,6.83085
733303.3333,6.99955
733303.3542,7.16125
733303.375,7.31595
733303.3958,7.4686
733303.4167,7.6192
733303.4375,7.6583
733303.4583,7.5859
733303.4792,7.72695
733303.5,8.08145
733303.5208,7.96455
733303.5417,7.37625
733303.5625,7.5303
733303.5833,8.4267
733303.6042,8.483125
733303.625,7.699575
733303.6458,7.059375
733303.6667,6.562525
733303.6875,5.90995
733303.7083,5.10165
733303.7292,4.5071
733303.75,4.1263
733303.7708,3.5063
733303.7917,2.6471
733303.8125,2.03965
733303.8333,1.68395
733303.8542,1.352175
733303.875,1.044325
733303.8958,1.2516
733303.9167,1.974
733303.9375,2.089875
733303.9583,1.599225
733303.9792,1.28315
733304,1.14165
733304.0208,0.8484
733304.0417,0.4034
733304.0625,0.243675
733304.0833,0.369225
733304.1042,0.52665
733304.125,0.71595
733304.1458,0.887775
733304.1667,1.042125
733304.1875,1.367925
733304.2083,1.865175
733304.2292,2.7895
733304.25,4.1409
733304.2708,5.43375
733304.2917,6.66805
733304.3125,7.244425
733304.3333,7.162875
733304.3542,7.261325
733304.375,7.539775
733304.3958,7.73685
733304.4167,7.85255
733304.4375,7.87235
733304.4583,7.79625
733304.4792,7.812325
733304.5,7.920575
733304.5208,7.78045
733304.5417,7.39195
733304.5625,7.663975
733304.5833,8.596525
733304.6042,8.258575
733304.625,6.650125
733304.6458,5.959375
733304.6667,6.186325
733304.6875,5.769425
733304.7083,4.708675
733304.7292,4.081425
733304.75,3.887675
733304.7708,3.4018
733304.7917,2.6238
733304.8125,1.84715
733304.8333,1.07185
733304.8542,0.724575
733304.875,0.805325
733304.8958,0.807325
733304.9167,0.730575
733304.9375,0.6883
733304.9583,0.6805
733304.9792,0.7185
733305,0.8023
733305.0208,0.732975
733305.0417,0.510525
733305.0625,0.434625
733305.0833,0.505275
733305.1042,0.676775
733305.125,0.949125
733305.1458,1.1497
733305.1667,1.2785
733305.1875,1.388125
733305.2083,1.478575
733305.2292,2.35775
733305.25,4.02565
733305.2708,5.179475
733305.2917,5.819225
733305.3125,6.14965
733305.3333,6.17075
733305.3542,6.56095
733305.375,7.32025
733305.3958,7.531125
733305.4167,7.193575
733305.4375,7.13235
733305.4583,7.34745
733305.4792,7.226975
733305.5,6.770925
733305.5208,6.539875
733305.5417,6.533825
733305.5625,7.022925
733305.5833,8.007175
733305.6042,7.93875
733305.625,6.81765
733305.6458,6.054325
733305.6667,5.648775
733305.6875,4.980525
733305.7083,4.049575
733305.7292,3.5756
733305.75,3.5586
733305.7708,3.0843
733305.7917,2.1527
733305.8125,1.424825
733305.8333,0.900675
733305.8542,0.792225
733305.875,1.099475
733305.8958,1.2192
733305.9167,1.1514
733305.9375,1.181925
733305.9583,1.310775
733305.9792,1.108125
733306,0.573975
733306.0208,0.442325
733306.0417,0.713175
733306.0625,0.709525
733306.0833,0.431375
733306.1042,0.49055
733306.125,0.88705
733306.1458,1.02895
733306.1667,0.91625
733306.1875,1.143075
733306.2083,1.709425
733306.2292,2.717475
733306.25,4.167225
733306.2708,5.534975
733306.2917,6.820725
733306.3125,7.10795
733306.3333,6.39665
733306.3542,6.589625
733306.375,7.686875
733306.3958,8.0318
733306.4167,7.6244
733306.4375,7.207325
733306.4583,6.780575
733306.4792,7.02805
733306.5,7.94975
733306.5208,8.13025
733306.5417,7.56955
733306.5625,7.01155
733306.5833,6.45625
733306.6042,6.06515
733306.625,5.83825
733306.6458,5.51875
733306.6667,5.10665
733306.6875,4.60795
733306.7083,4.02265
733306.7292,3.53135
733306.75,3.13405
733306.7708,2.878575
733306.7917,2.764925
733306.8125,2.30635
733306.8333,1.50285
733306.8542,0.9966
733306.875,0.7876
733306.8958,0.69725
733306.9167,0.72555
733306.9375,0.817275
733306.9583,0.972425
733306.9792,0.873975
733307,0.521925
733307.0208,0.39925
733307.0417,0.50595
733307.0625,0.575375
733307.0833,0.607525
733307.1042,0.5642
733307.125,0.4454
733307.1458,0.41515
733307.1667,0.47345
733307.1875,0.658525
733307.2083,0.970375
733307.2292,1.236125
733307.25,1.455775
733307.2708,1.7899
733307.2917,2.2385
733307.3125,2.226525
733307.3333,1.753975
733307.3542,1.694425
733307.375,2.047875
733307.3958,2.082125
733307.4167,1.797175
733307.4375,1.808875
733307.4583,2.117225
733307.4792,2.2905
733307.5,2.3287
733307.5208,2.072425
733307.5417,1.521675
733307.5625,1.381675
733307.5833,1.652425
733307.6042,1.56375
733307.625,1.11565
733307.6458,0.9745
733307.6667,1.1403
733307.6875,1.2117
733307.7083,1.1887
733307.7292,1.163925
733307.75,1.137375
733307.7708,0.944125
733307.7917,0.584175
733307.8125,0.372125
733307.8333,0.307975
733307.8542,0.251125
733307.875,0.201575
733307.8958,0.1977
733307.9167,0.2395
733307.9375,0.33485
733307.9583,0.48375
733307.9792,0.435975
733308,0.191525
733308.0208,0.125375
733308.0417,0.237525
733308.0625,0.3027
