'TS062ND1',2007-08-22-00:00:00'
733285.9167,14.85366667
733285.9375,14.7435
733285.9583,14.67583333
733285.9792,14.59575
733286,14.57641667
733286.0208,14.53616667
733286.0417,14.59333333
733286.0625,14.51291667
733286.0833,14.5195
733286.1042,14.33566667
733286.125,14.24766667
733286.1458,14.06758333
733286.1667,13.89566667
733286.1875,13.82575
733286.2083,13.79741667
733286.2292,13.70891667
733286.25,13.67366667
733286.2708,13.73316667
733286.2917,13.88133333
733286.3125,14.11941667
733286.3333,14.3805
733286.3542,14.767
733286.375,15.10975
733286.3958,15.58475
733286.4167,16.02225
733286.4375,16.40458333
733286.4583,16.77275
733286.4792,17.0415
733286.5,17.275375
733286.5208,17.47954167
733286.5417,17.44079167
733286.5625,17.87166667
733286.5833,17.93283333
733286.6042,17.950125
733286.625,17.85966667
733286.6458,17.82783333
733286.6667,17.478625
733286.6875,17.3485
733286.7083,17.321
733286.7292,17.149375
733286.75,16.93329167
733286.7708,16.695625
733286.7917,16.39958333
733286.8125,16.15608333
733286.8333,16.01525
733286.8542,15.81366667
733286.875,15.65470833
733286.8958,15.38341667
733286.9167,15.211
733286.9375,14.90916667
733286.9583,14.648375
733286.9792,14.49395833
733287,14.32775
733287.0208,14.216375
733287.0417,14.06979167
733287.0625,13.928125
733287.0833,13.83966667
733287.1042,13.79958333
733287.125,13.74445833
733287.1458,13.72725
733287.1667,13.71325
733287.1875,13.74308333
733287.2083,13.65454167
733287.2292,13.7105
733287.25,13.78875
733287.2708,13.836875
733287.2917,13.977375
733287.3125,14.13316667
733287.3333,14.49616667
733287.3542,15.15870833
733287.375,15.797375
733287.3958,16.61304167
733287.4167,17.20425
733287.4375,17.7025
733287.4583,18.28008333
733287.4792,18.48516667
733287.5,18.66079167
733287.5208,19.02754167
733287.5417,19.48033333
733287.5625,19.69954167
733287.5833,20.016625
733287.6042,19.81420833
733287.625,19.95708333
733287.6458,19.76016667
733287.6667,19.54975
733287.6875,19.48558333
733287.7083,19.25958333
733287.7292,19.00458333
733287.75,18.51425
733287.7708,17.92391667
733287.7917,17.3315
733287.8125,16.64908333
733287.8333,16.39108333
733287.8542,16.1975
733287.875,16.04575
733287.8958,15.90841667
733287.9167,15.88483333
733287.9375,15.92266667
733287.9583,15.85525
733287.9792,15.77158333
733288,15.71175
733288.0208,15.73841667
733288.0417,15.71375
733288.0625,15.67408333
733288.0833,15.62358333
733288.1042,15.48191667
733288.125,15.21741667
733288.1458,15.08841667
733288.1667,14.95875
733288.1875,14.77075
733288.2083,14.67516667
733288.2292,14.2925
733288.25,13.93616667
733288.2708,13.72933333
733288.2917,13.71708333
733288.3125,13.69341667
733288.3333,13.56466667
733288.3542,13.63591667
733288.375,13.6585
733288.3958,13.54683333
733288.4167,13.68075
733288.4375,13.72041667
733288.4583,13.91583333
733288.4792,14.2065
733288.5,14.88766667
733288.5208,15.68075
733288.5417,16.27191667
733288.5625,16.756
733288.5833,17.06045833
733288.6042,17.16966667
733288.625,17.22904167
733288.6458,17.32608333
733288.6667,17.32504167
733288.6875,17.1985
