'FREQ_VS1',2007-08-22-00:00:00'
733278.8333,0.390963592
733278.8542,0.392532086
733278.875,0.392680792
733278.8958,0.391839796
733278.9167,0.391482705
733278.9375,0.393036736
733278.9583,0.390545543
733278.9792,0.392602346
733279,0.392704685
733279.0208,0.393384573
733279.0417,0.393029791
733279.0625,0.393049256
733279.0833,0.393453282
733279.1042,0.392852147
733279.125,0.39368764
733279.1458,0.392718551
733279.1667,0.393699333
733279.1875,0.392797637
733279.2083,0.391445654
733279.2292,0.391844416
733279.25,0.393662568
733279.2708,0.393883876
733279.2917,0.392345115
733279.3125,0.39131207
733279.3333,0.39147671
733279.3542,0.390449739
733279.375,0.390375489
733279.3958,0.390866021
733279.4167,0.390447766
733279.4375,0.390183332
733279.4583,0.390230639
733279.4792,0.39058839
733279.5,0.390490195
733279.5208,0.389805884
733279.5417,0.392567729
733279.5625,0.394024532
733279.5833,0.392546181
733279.6042,0.391169294
733279.625,0.393403542
733279.6458,0.393473493
733279.6667,0.392763189
733279.6875,0.393932357
733279.7083,0.392224761
733279.7292,0.392510413
733279.75,0.392708793
733279.7708,0.392401193
733279.7917,0.392825415
733279.8125,0.39328386
733279.8333,NaN
733279.8542,NaN
733279.875,NaN
733279.8958,NaN
733279.9167,NaN
733279.9375,NaN
733279.9583,NaN
733279.9792,NaN
733280,NaN
733280.0208,NaN
733280.0417,NaN
733280.0625,NaN
733280.0833,NaN
733280.1042,NaN
733280.125,NaN
733280.1458,NaN
733280.1667,NaN
733280.1875,NaN
733280.2083,NaN
733280.2292,NaN
733280.25,NaN
733280.2708,NaN
733280.2917,NaN
733280.3125,NaN
733280.3333,NaN
733280.3542,NaN
733280.375,NaN
733280.3958,NaN
733280.4167,NaN
733280.4375,NaN
733280.4583,NaN
733280.4792,NaN
733280.5,NaN
733280.5208,NaN
733280.5417,NaN
733280.5625,NaN
733280.5833,NaN
733280.6042,NaN
733280.625,NaN
733280.6458,NaN
733280.6667,NaN
733280.6875,NaN
733280.7083,NaN
733280.7292,NaN
733280.75,NaN
733280.7708,NaN
733280.7917,NaN
733280.8125,NaN
733280.8333,NaN
733280.8542,NaN
733280.875,NaN
733280.8958,NaN
733280.9167,NaN
733280.9375,NaN
733280.9583,NaN
733280.9792,NaN
733281,NaN
733281.0208,NaN
733281.0417,NaN
733281.0625,NaN
733281.0833,NaN
733281.1042,NaN
733281.125,NaN
733281.1458,NaN
733281.1667,NaN
733281.1875,NaN
733281.2083,NaN
733281.2292,NaN
733281.25,NaN
733281.2708,NaN
733281.2917,NaN
733281.3125,NaN
733281.3333,NaN
733281.3542,NaN
733281.375,NaN
733281.3958,NaN
733281.4167,NaN
733281.4375,NaN
733281.4583,NaN
733281.4792,NaN
733281.5,NaN
733281.5208,NaN
733281.5417,NaN
733281.5625,NaN
733281.5833,NaN
733281.6042,NaN
733281.625,NaN
733281.6458,NaN
733281.6667,NaN
733281.6875,NaN
733281.7083,NaN
733281.7292,NaN
733281.75,NaN
733281.7708,NaN
733281.7917,NaN
733281.8125,NaN
733281.8333,NaN
733281.8542,NaN
733281.875,NaN
733281.8958,NaN
733281.9167,NaN
733281.9375,NaN
733281.9583,NaN
733281.9792,NaN
733282,NaN
733282.0208,NaN
733282.0417,NaN
733282.0625,NaN
733282.0833,NaN
733282.1042,NaN
733282.125,NaN
733282.1458,NaN
733282.1667,NaN
733282.1875,NaN
733282.2083,NaN
733282.2292,NaN
733282.25,NaN
