'TS062NC1',2007-08-22-00:00:00'
733639.1042,13.81183333
733639.125,13.7735
733639.1458,13.593
733639.1667,13.35925
733639.1875,13.40058333
733639.2083,13.44216667
733639.2292,13.41266667
733639.25,13.14308333
733639.2708,13.235
733639.2917,13.52483333
733639.3125,13.84133333
733639.3333,14.20941667
733639.3542,14.07766667
733639.375,14.05516667
733639.3958,14.7765
733639.4167,14.62966667
733639.4375,14.60383333
733639.4583,15.32008333
733639.4792,16.97158333
733639.5,18.27683333
733639.5208,18.63691667
733639.5417,17.69008333
733639.5625,20.52858333
733639.5833,18.61541667
733639.6042,18.3725
733639.625,18.72216667
733639.6458,19.54008333
733639.6667,18.79858333
733639.6875,18.67566667
733639.7083,18.38033333
733639.7292,18.31104167
733639.75,17.955625
733639.7708,17.626375
733639.7917,17.32208333
733639.8125,17.04083333
733639.8333,16.852
733639.8542,16.2805
733639.875,16.25233333
733639.8958,16.11745833
733639.9167,15.97566667
733639.9375,15.86579167
733639.9583,15.70116667
733639.9792,15.54329167
733640,15.31979167
733640.0208,15.05641667
733640.0417,14.77041667
733640.0625,14.67633333
733640.0833,14.71466667
733640.1042,14.650875
733640.125,14.550875
733640.1458,14.467
733640.1667,14.40608333
733640.1875,14.289625
733640.2083,14.04791667
733640.2292,13.71291667
733640.25,13.904375
733640.2708,13.8955
733640.2917,14.1365
733640.3125,14.452125
733640.3333,14.60291667
733640.3542,14.725625
733640.375,14.96845833
733640.3958,15.34791667
733640.4167,15.35333333
733640.4375,15.46391667
733640.4583,15.52379167
733640.4792,15.887875
733640.5,15.744125
733640.5208,15.08266667
733640.5417,14.81216667
733640.5625,14.721
733640.5833,14.762
733640.6042,15.073625
733640.625,15.55983333
733640.6458,15.758625
733640.6667,15.80895833
733640.6875,15.77029167
733640.7083,15.07595833
733640.7292,15.05079167
733640.75,15.26291667
733640.7708,15.19233333
733640.7917,15.01670833
733640.8125,14.85391667
733640.8333,14.56725
733640.8542,14.397
733640.875,14.38433333
733640.8958,14.43466667
733640.9167,14.33541667
733640.9375,14.33533333
733640.9583,14.29125
733640.9792,14.2435
733641,14.2195
733641.0208,14.20841667
733641.0417,14.08033333
733641.0625,14.02683333
733641.0833,13.88066667
733641.1042,13.74983333
733641.125,13.59858333
733641.1458,13.583
733641.1667,13.56408333
733641.1875,13.48583333
733641.2083,13.4765
733641.2292,13.42791667
733641.25,13.49416667
733641.2708,13.63216667
733641.2917,13.766
733641.3125,14.13525
733641.3333,14.75466667
733641.3542,15.98533333
733641.375,16.55558333
733641.3958,17.918
733641.4167,18.5255
733641.4375,19.70975
733641.4583,20.51925
733641.4792,20.803
733641.5,20.72183333
733641.5208,21.206
733641.5417,23.90108333
733641.5625,23.96525
733641.5833,23.17775
733641.6042,24.25583333
733641.625,23.03066667
733641.6458,21.511
733641.6667,21.49766667
733641.6875,20.86858333
733641.7083,20.099
733641.7292,19.01958333
733641.75,18.97629167
733641.7708,18.92066667
733641.7917,18.6705
733641.8125,18.41366667
733641.8333,18.1035
733641.8542,17.76275
733641.875,17.30920833
733641.8958,17.073125
733641.9167,16.92233333
733641.9375,16.738375
733641.9583,16.59808333
733641.9792,15.94554167
733642,15.49791667
733642.0208,15.21554167
733642.0417,14.97708333
733642.0625,14.67608333
733642.0833,14.36833333
733642.1042,14.15908333
733642.125,13.931375
733642.1458,13.74933333
733642.1667,13.574875
733642.1875,13.436875
733642.2083,13.26775
733642.2292,13.08016667
733642.25,12.97229167
733642.2708,13.00641667
733642.2917,13.26329167
733642.3125,13.72958333
733642.3333,14.294
733642.3542,15.12395833
733642.375,16.08120833
733642.3958,17.001375
733642.4167,18.02895833
733642.4375,17.50483333
733642.4583,17.46308333
733642.4792,19.76695833
733642.5,19.01429167
733642.5208,20.29170833
733642.5417,20.427125
733642.5625,21.14233333
733642.5833,20.87670833
733642.6042,19.70129167
733642.625,20.11445833
733642.6458,19.815125
733642.6667,19.55483333
733642.6875,19.18379167
733642.7083,18.60320833
733642.7292,18.02629167
733642.75,17.22583333
733642.7708,16.52008333
733642.7917,16.06525
733642.8125,15.56483333
733642.8333,15.12479167
733642.8542,14.83108333
733642.875,14.324125
733642.8958,14.030875
733642.9167,13.76095833
733642.9375,13.38875
733642.9583,13.04579167
733642.9792,12.6775
733643,12.23125
733643.0208,11.81833333
733643.0417,11.62625
733643.0625,11.29625
733643.0833,10.99541667
733643.1042,10.75041667
733643.125,10.38833333
733643.1458,10.2275
733643.1667,10.023375
733643.1875,9.825833333
733643.2083,9.779708333
733643.2292,9.669125
733643.25,9.646958333
733643.2708,9.794791667
733643.2917,9.961083333
733643.3125,10.306375
733643.3333,10.77375
733643.3542,11.23
733643.375,11.95958333
733643.3958,12.89458333
733643.4167,13.90333333
733643.4375,15.3125
733643.4583,15.98208333
733643.4792,16.40875
733643.5,18.75875
733643.5208,19.8125
733643.5417,18.36833333
733643.5625,19.215
733643.5833,17.71166667
733643.6042,17.72958333
733643.625,17.93166667
733643.6458,18.46833333
733643.6667,17.40083333
733643.6875,17.04708333
733643.7083,16.82833333
733643.7292,16.64958333
733643.75,16.36875
733643.7708,15.54208333
733643.7917,15.1575
733643.8125,15.37041667
733643.8333,14.96291667
733643.8542,14.99291667
733643.875,14.35375
733643.8958,14.15791667
733643.9167,14.00416667
733643.9375,13.86583333
733643.9583,13.87666667
733643.9792,13.71083333
733644,13.80620833
733644.0208,13.839125
733644.0417,13.901875
733644.0625,13.96825
733644.0833,14.04054167
733644.1042,14.18675
733644.125,14.25045833
733644.1458,14.075
733644.1667,13.98491667
733644.1875,13.929125
733644.2083,13.89025
733644.2292,13.75220833
733644.25,13.53629167
733644.2708,13.67608333
733644.2917,13.93004167
733644.3125,14.2555
733644.3333,14.201375
733644.3542,14.68625
733644.375,15.22879167
733644.3958,15.74445833
733644.4167,15.84104167
733644.4375,16.74
733644.4583,17.4425
733644.4792,20.051875
733644.5,20.20283333
733644.5208,20.938125
733644.5417,20.55658333
733644.5625,20.93708333
733644.5833,21.91716667
733644.6042,22.76066667
733644.625,21.29745833
733644.6458,20.6995
733644.6667,22.12716667
733644.6875,21.08495833
733644.7083,20.322625
733644.7292,19.804875
733644.75,18.938125
733644.7708,18.30733333
733644.7917,17.74141667
733644.8125,17.31595833
733644.8333,17.04304167
733644.8542,16.748375
733644.875,16.52820833
733644.8958,16.36583333
733644.9167,16.02879167
733644.9375,15.87166667
733644.9583,15.75745833
733644.9792,15.62475
733645,15.522875
733645.0208,15.376875
733645.0417,15.30516667
733645.0625,15.24
733645.0833,14.98870833
733645.1042,14.779125
733645.125,14.77125
733645.1458,14.579625
733645.1667,14.51725
733645.1875,14.42258333
733645.2083,14.39875
733645.2292,14.44041667
733645.25,14.37825
733645.2708,14.33766667
733645.2917,14.377
733645.3125,14.39241667
733645.3333,14.45625
733645.3542,14.49891667
733645.375,14.48208333
733645.3958,14.57083333
733645.4167,14.60558333
733645.4375,14.867
733645.4583,15.15416667
733645.4792,15.3735
733645.5,15.77566667
733645.5208,17.02666667
733645.5417,17.59270833
733645.5625,20.37354167
733645.5833,20.96166667
733645.6042,21.25416667
733645.625,21.48708333
733645.6458,21.58141667
733645.6667,21.363
733645.6875,21.03241667
733645.7083,20.05808333
733645.7292,19.29325
733645.75,19.34933333
733645.7708,18.94683333
733645.7917,18.628
733645.8125,18.39554167
733645.8333,18.09504167
733645.8542,17.91329167
733645.875,17.650375
733645.8958,17.378625
733645.9167,17.14695833
733645.9375,16.8975
733645.9583,16.57454167
733645.9792,16.172875
733646,15.85916667
733646.0208,15.96433333
733646.0417,15.81616667
733646.0625,15.574375
733646.0833,15.43416667
733646.1042,15.30716667
733646.125,15.12408333
733646.1458,15.05441667
733646.1667,14.818625
733646.1875,14.75616667
733646.2083,14.67941667
733646.2292,14.5745
733646.25,14.47795833
733646.2708,14.43604167
733646.2917,14.521
733646.3125,14.50433333
733646.3333,14.5565
733646.3542,14.71083333
733646.375,14.94325
733646.3958,15.25158333
733646.4167,15.27075
733646.4375,15.55016667
733646.4583,15.82058333
733646.4792,16.13466667
733646.5,16.78583333
733646.5208,17.40958333
733646.5417,19.081
733646.5625,20.97358333
733646.5833,19.599
733646.6042,20.2145
733646.625,20.27266667
733646.6458,21.15558333
733646.6667,20.27316667
733646.6875,19.69475
733646.7083,19.35975
733646.7292,19.07
733646.75,18.78716667
733646.7708,18.57083333
733646.7917,18.26025
733646.8125,18.02833333
733646.8333,17.80266667
733646.8542,17.52516667
733646.875,17.25241667
733646.8958,17.04783333
733646.9167,16.79891667
733646.9375,16.51991667
733646.9583,16.258
733646.9792,16.10416667
733647,16.0765
733647.0208,15.98316667
733647.0417,15.8665
733647.0625,15.772
733647.0833,15.72166667
733647.1042,15.65341667
733647.125,15.48733333
733647.1458,15.40775
733647.1667,15.35408333
733647.1875,15.20358333
733647.2083,15.191
733647.2292,15.06283333
733647.25,15.11095833
733647.2708,15.21979167
733647.2917,15.23033333
733647.3125,15.23483333
733647.3333,15.40158333
733647.3542,15.67495833
733647.375,15.996875
733647.3958,16.47416667
733647.4167,16.69125
733647.4375,17.26104167
733647.4583,17.80583333
733647.4792,18.941875
733647.5,19.23083333
733647.5208,20.19520833
733647.5417,19.85625
733647.5625,19.98041667
733647.5833,20.31875
733647.6042,20.88229167
733647.625,20.29479167
733647.6458,20.64333333
733647.6667,20.23708333
733647.6875,20.05125
733647.7083,19.90520833
733647.7292,19.55979167
733647.75,19.049375
733647.7708,18.79770833
733647.7917,18.56395833
733647.8125,18.37583333
733647.8333,18.02729167
733647.8542,17.806875
733647.875,17.59895833
733647.8958,17.319375
733647.9167,17.159375
733647.9375,16.70208333
733647.9583,16.395625
733647.9792,16.21375
733648,15.95375
733648.0208,15.82270833
733648.0417,15.65770833
733648.0625,15.418125
733648.0833,15.23604167
733648.1042,15.09854167
733648.125,14.95729167
733648.1458,14.82895833
733648.1667,14.80270833
733648.1875,14.71083333
733648.2083,14.64166667
733648.2292,14.64375
733648.25,14.583125
733648.2708,14.60666667
733648.2917,14.63979167
733648.3125,14.61145833
733648.3333,14.74679167
733648.3542,14.82704167
733648.375,15.25295833
733648.3958,15.39845833
733648.4167,15.8035
733648.4375,16.32566667
733648.4583,16.94791667
733648.4792,17.65625
733648.5,18.50908333
733648.5208,19.06766667
733648.5417,19.971
733648.5625,21.89958333
733648.5833,21.15858333
733648.6042,21.17575
733648.625,21.01216667
733648.6458,21.76175
733648.6667,20.70675
