'CLASS01',2007-08-22-00:00:00'
733282.6875,15.37499999
733282.7083,19.12499999
733282.7292,18.87500001
733282.75,14.62500002
733282.7708,12.125
733282.7917,11.375
733282.8125,10.25
733282.8333,8.750000004
733282.8542,7.875
733282.875,7.625000001
733282.8958,7.125000001
733282.9167,6.374999999
733282.9375,5.125000005
733282.9583,3.375000005
733282.9792,2.000000001
733283,1.000000004
733283.0208,0.375
733283.0417,0.125
733283.0625,0
733283.0833,0
733283.1042,0.125
733283.125,0.374999999
733283.1458,0.749999999
733283.1667,1.250000001
733283.1875,1.874999998
733283.2083,2.624999998
733283.2292,8.124999986
733283.25,18.37499996
733283.2708,29.87499998
733283.2917,42.62500002
733283.3125,41.75000004
733283.3333,27.25000004
733283.3542,16.87500001
733283.375,10.62500003
733283.3958,7.625
733283.4167,7.875
733283.4375,8.624999997
733283.4583,9.874999997
733283.4792,10.125
733283.5,9.375000003
733283.5208,8.750000001
733283.5417,8.249999999
733283.5625,8.749999996
733283.5833,10.25
733283.6042,12
733283.625,13.99999999
733283.6458,15.375
733283.6667,16.125
733283.6875,16.625
733283.7083,16.875
733283.7292,17.875
733283.75,19.62499999
733283.7708,17.87500001
733283.7917,12.62499999
733283.8125,9.625000002
733283.8333,8.875000002
733283.8542,7.625000002
733283.875,5.875000007
733283.8958,5.374999999
733283.9167,6.125000001
733283.9375,5.250000007
733283.9583,2.750000007
733283.9792,1.250000001
733284,0.750000002
733284.0208,0.5
733284.0417,0.5
733284.0625,0.5
733284.0833,0.5
733284.1042,0.375
733284.125,0.125000001
733284.1458,0.374999999
733284.1667,1.125000001
733284.1875,2.124999997
733284.2083,3.374999997
733284.2292,8.374999988
733284.25,17.12499996
733284.2708,28.24999998
733284.2917,41.75000002
733284.3125,42.12500004
733284.3333,29.37500004
733284.3542,19.37500001
733284.375,12.12500003
733284.3958,7.875000002
733284.4167,6.624999998
733284.4375,7.124999994
733284.4583,9.374999994
733284.4792,9.250000003
733284.5,6.75000001
733284.5208,6.749999997
733284.5417,9.250000003
733284.5625,10.375
733284.5833,10.125
733284.6042,10.625
733284.625,11.87499999
733284.6458,11.75
733284.6667,10.25
733284.6875,11.49999999
733284.7083,15.49999999
733284.7292,16.125
733284.75,13.37500001
733284.7708,10.625
733284.7917,7.874999996
733284.8125,6.375000001
733284.8333,6.125000001
733284.8542,5.500000001
733284.875,4.500000004
733284.8958,4.374999999
733284.9167,5.125000001
733284.9375,4.500000006
733284.9583,2.500000006
733284.9792,1.125000001
733285,0.375000003
733285.0208,0.125
733285.0417,0.375
733285.0625,0.5
733285.0833,0.5
733285.1042,0.5
733285.125,0.5
733285.1458,0.874999999
733285.1667,1.625000001
733285.1875,2.624999997
733285.2083,3.874999997
733285.2292,7.874999991
733285.25,14.62499997
733285.2708,24.12499998
733285.2917,36.37500002
733285.3125,36.75000003
733285.3333,25.25000003
